#    M*          age        k_rot        M200
   1.7285e+08     7.9638     0.3815    2.9304e+10
   9.6766e+08     7.8270     0.4229    2.2452e+10
   1.3940e+08     5.8430     0.3789    9.7962e+09
   1.4640e+08     8.6312     0.3360    1.8059e+10
   7.2953e+07     8.1500     0.3130    1.6880e+10
   1.3286e+08     9.9842     0.4535    1.2097e+10
   2.3446e+08     6.7999     0.4056    1.4613e+10
   4.9384e+07     9.5574     0.3835    1.2394e+10
   1.4844e+08     8.9740     0.3997    1.5886e+10
   1.0972e+08    10.6618     0.3592    8.2464e+09
   4.8841e+07     9.4134     0.3744    1.1462e+10
   1.6765e+08     9.0498     0.3725    1.1770e+10
   3.3256e+07     7.4785     0.4363    9.1200e+09
   4.6210e+07    10.7600     0.3691    5.4057e+09
   3.1091e+08    10.0272     0.3428    6.0176e+09
   3.6178e+07     8.4216     0.4153    8.5179e+09
   3.9927e+07     9.4686     0.3465    8.3048e+09
   2.0267e+08     6.1340     0.3853    5.9629e+09
   9.7747e+07     9.0017     0.2801    5.6236e+09
   3.1930e+07    10.8455     0.3408    5.9811e+09
   9.0553e+07    10.5946     0.3857    5.3669e+09
   3.6062e+07     8.7353     0.3782    5.9055e+09
   4.4745e+07    10.8307     0.3417    5.0257e+09
   7.6287e+07     8.2752     0.3277    4.9569e+09
   8.2333e+07     8.8351     0.3124    4.8848e+09
   4.0515e+07     9.6883     0.2995    1.4767e+09
   4.0695e+07     9.4021     0.4338    4.3933e+09
   4.7300e+07     7.6733     0.3133    3.9148e+09
   7.6508e+07    11.4768     0.3261    3.8286e+09
   7.4536e+07     8.4554     0.3332    3.4637e+09
   4.4595e+07    10.1219     0.3318    3.6892e+09
   3.3714e+07     9.7300     0.3557    3.4300e+09
   8.8134e+07    11.0614     0.3299    2.8523e+09
   5.8236e+07    11.0326     0.3562    3.0542e+09
   1.1410e+08     9.8900     0.3175    2.0459e+09
   8.6590e+07     9.6906     0.3439    1.8957e+09
   4.1260e+07    10.6229     0.3425    1.3144e+09
   1.2279e+08    10.1671     0.3488    1.0278e+09
   6.4308e+07    10.8782     0.3492    1.3252e+09
   5.1031e+07    10.5586     0.3335    1.0103e+09
   5.4875e+07    11.0507     0.3306    7.3420e+08
   3.2616e+07    11.1904     0.3746    8.5775e+08
